ticker,pattern_type,description,entry_label,exit_label,train_n,train_mean_ret,train_std_ret,train_t_stat,train_p_value,train_win_rate,train_sharpe,test_n,test_mean_ret,test_std_ret,test_t_stat,test_p_value,test_win_rate,test_sharpe,test_win_ci_lo,test_win_ci_hi,fdr_p_value,condition,significant
nifty50,multiday_hold,Buy Mon_Close -> Sell Close+2d,Mon_Close,Close+2d,377,0.0012421444832964627,0.014547224928932088,0.4050217651026152,0.6856918433915283,0.5013262599469496,0.8538704043999741,162,0.00016428482815553325,0.009366688877561365,-1.048506482412188,0.29597674207933716,0.5246913580246914,0.17539263906703506,0.4481110272266371,0.6001277741356266,0.9988106200615792,,False
nifty50,multiday_hold,Buy Tue_Close -> Sell Close+2d,Tue_Close,Close+2d,380,0.0014495311591479166,0.015116496011735862,0.658405810479687,0.510677154662005,0.5526315789473685,0.9589068511793717,164,0.001248006363833488,0.010329950281168485,0.38278832877172625,0.702375416632254,0.4817073170731707,1.208143630767135,0.40653117575390096,0.5577208332831911,0.9988106200615792,,False
nifty50,multiday_hold,Buy Wed_Close -> Sell Close+2d,Wed_Close,Close+2d,380,0.0009165810017932374,0.014062682710145998,-0.0300542557724624,0.9760396025667907,0.5473684210526316,0.6517824661804672,163,0.0012418261457320483,0.011268108125293759,0.34285924189534983,0.7321488356146891,0.50920245398773,1.10207155622202,0.4331324517981147,0.5848486752109764,0.9988106200615792,,False
nifty50,multiday_hold,Buy Thu_Close -> Sell Close+2d,Thu_Close,Close+2d,381,0.00012510563767384114,0.01793623053537052,-0.8837919343021432,0.3773673457553227,0.5459317585301837,0.06975023956518117,164,0.0012589217155749392,0.012128782531245531,0.33750644600491037,0.7361693865468751,0.5121951219512195,1.0379621469275844,0.4362936742169253,0.5875383197583467,0.9988106200615792,,False
nifty50,multiday_hold,Buy Fri_Close -> Sell Close+2d,Fri_Close,Close+2d,373,0.0009044866729262103,0.016375324128786704,-0.039815346263100286,0.9682617005710933,0.5227882037533512,0.5523473403107694,160,0.0008406865286434897,0.0094660795163996,-0.1300160485266648,0.8967180687245814,0.55625,0.8881042327893339,0.47884358379731345,0.6310186245795579,0.9988106200615792,,False
nifty50,multiday_hold,Buy Mon_Close -> Sell Close+3d,Mon_Close,Close+3d,377,0.0016942092957531816,0.019125412792349146,0.27640453957423783,0.7823892388359366,0.5358090185676393,0.8858419497386882,162,0.0004638638845449913,0.01204739051155905,-1.0086946595393307,0.3146346577341708,0.4567901234567901,0.3850326625503922,0.3819700748348308,0.5336120227812077,0.9988106200615792,,False
nifty50,multiday_hold,Buy Tue_Close -> Sell Close+3d,Tue_Close,Close+3d,380,0.0019925561224573844,0.01633348921819892,0.6805398948208692,0.4965781949980082,0.5263157894736842,1.2199206769838624,164,0.0022477239751291208,0.013985244196318707,0.7541817830653621,0.4518282168388839,0.5121951219512195,1.6072111030573084,0.4362936742169253,0.5875383197583467,0.9988106200615792,,False
nifty50,multiday_hold,Buy Wed_Close -> Sell Close+3d,Wed_Close,Close+3d,380,0.0007012713991800904,0.020767779883889108,-0.6752305613573376,0.4999410281051779,0.531578947368421,0.33767278115467286,163,0.0017818597532464743,0.014379919801786704,0.3188841903767163,0.7502251138597769,0.5153374233128835,1.2391305221501154,0.4391484866370029,0.5908200583781492,0.9988106200615792,,False
nifty50,multiday_hold,Buy Thu_Close -> Sell Close+3d,Thu_Close,Close+3d,381,0.0012866596730403362,0.018566487641709168,-0.14166434442259485,0.8874202127746641,0.5459317585301837,0.6930011200125361,164,0.0012362792346075882,0.013267263705333113,-0.1783220450216925,0.8586915008051104,0.49390243902439024,0.9318268348812833,0.41840318712886326,0.5696808158835007,0.9988106200615792,,False
nifty50,multiday_hold,Buy Fri_Close -> Sell Close+3d,Fri_Close,Close+3d,372,0.0012982014454216565,0.020621102394192257,-0.11524918318451458,0.9083099666265371,0.5161290322580645,0.6295499729380534,160,0.0016397819128405842,0.011903662874411117,0.23113378635235912,0.8175080281854141,0.5625,1.377543979648118,0.48505879638054433,0.6370103240382016,0.9988106200615792,,False
