date,RSI2_MeanRev,Pairs_nifty50_vs_banknifty,DualMom_nifty50_vs_gold
2015-04-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2015-05-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2015-06-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2015-07-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2015-08-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2015-09-30,0.22222222222222227,0.5555555555555556,0.22222222222222227
2015-10-30,0.22222222222222227,0.5555555555555556,0.22222222222222227
2015-11-30,0.22222222222222227,0.5555555555555556,0.22222222222222227
2015-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-01-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-29,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-03-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-04-29,0.22222222222222224,0.22222222222222224,0.5555555555555556
2016-05-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2016-06-30,0.1908958164390454,0.37507698209316925,0.4340272014677853
2016-07-29,0.21773179408373852,0.5443294852093463,0.2379387207069153
2016-08-31,0.19342253197048076,0.47346589673127043,0.3331115712982489
2016-09-30,0.4097611741539113,0.42159916131863484,0.16863966452745394
2016-10-28,0.5555555555555556,0.22222222222222227,0.22222222222222227
2016-11-30,0.5555555555555556,0.22222222222222227,0.22222222222222227
2016-12-30,0.5555555555555556,0.22222222222222227,0.22222222222222227
2017-01-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2017-02-28,0.22222222222222224,0.22222222222222224,0.5555555555555556
2017-03-31,0.20358915358226987,0.28743796246205544,0.5089728839556746
2017-04-28,0.18545942512791821,0.3514589508546824,0.46308162401739933
2017-05-31,0.2343210378019136,0.38994381921765586,0.37573514298043054
2017-06-30,0.38247339358679067,0.3220194351204506,0.2955071712927587
2017-07-31,0.34010070629867817,0.23604548315158336,0.4238538105497386
2017-08-31,0.45355571390350985,0.18142228556140397,0.3650220005350862
2017-09-29,0.36997252822426574,0.18000784907878123,0.450019622696953
2017-10-31,0.2892943834855413,0.20305874757555964,0.5076468689388991
2017-11-30,0.16675914508247533,0.4168978627061883,0.4163429922113364
2017-12-29,0.26994409761763527,0.22248908742599466,0.5075668149563701
2018-01-31,0.23514960006369934,0.2185286856960859,0.5463217142402147
2018-02-28,0.477366343622186,0.1909465374488744,0.3316871189289397
2018-03-28,0.5555555555555556,0.22222222222222227,0.22222222222222227
2018-04-30,0.5349592107381346,0.25105710496661165,0.21398368429525386
2018-05-31,0.5555555555555556,0.22222222222222227,0.22222222222222227
2018-06-29,0.20974340407134953,0.3183111171311142,0.4719454787975363
2018-07-31,0.23211950997995875,0.21939442572001178,0.5484860643000294
2018-08-31,0.20445977924187925,0.2843907726534227,0.5111494481046981
2018-09-28,0.22222222222222224,0.22222222222222224,0.5555555555555556
2018-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2018-11-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2018-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-01-31,0.22222222222222224,0.22222222222222224,0.5555555555555556
2019-02-28,0.22222222222222224,0.22222222222222224,0.5555555555555556
2019-03-28,0.22222222222222224,0.22222222222222224,0.5555555555555556
2019-04-30,0.22222222222222224,0.22222222222222224,0.5555555555555556
2019-05-31,0.19025809279715075,0.3340966752099723,0.47564523199287684
2019-06-28,0.24904011703538892,0.2439602866472439,0.5069995963173671
2019-07-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-08-30,0.3333333333333333,0.3333333333333333,0.3333333333333333
2019-09-30,0.22222222222222227,0.5555555555555556,0.22222222222222227
2019-10-31,0.17189892650606892,0.42974731626517226,0.3983537572287588
2019-11-29,0.22222222222222227,0.5555555555555556,0.22222222222222227
2019-12-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2020-01-31,0.19975544133886147,0.3008559553139848,0.4993886033471537
2020-02-28,0.29489150124360497,0.20145957107325574,0.5036489276831394
2020-03-31,0.42129229576713106,0.16851691830685242,0.4101907859260166
2020-04-30,0.22222222222222224,0.22222222222222224,0.5555555555555556
2020-05-29,0.22222222222222224,0.22222222222222224,0.5555555555555556
2020-06-30,0.19653505541960747,0.3121273060313738,0.49133763854901863
2020-07-31,0.2157074513032956,0.2450239204384654,0.539268628258239
2020-08-31,0.2772408093645119,0.2946769332314303,0.42808225740405775
2020-09-30,0.21555027295738724,0.5388756823934681,0.2455740446491447
2020-10-30,0.22563599301796797,0.5531171478443085,0.22124685913772343
2020-11-27,0.22222222222222227,0.5555555555555556,0.22222222222222227
2020-12-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2021-01-29,0.22222222222222227,0.5555555555555556,0.22222222222222227
2021-02-26,0.5086315871107631,0.2879157780449318,0.20345263484430523
2021-03-31,0.5555555555555556,0.22222222222222227,0.22222222222222227
2021-04-30,0.5530197373223332,0.22577236774873344,0.2212078949289333
2021-05-31,0.4900307449245297,0.31395695710565835,0.1960122979698119
2021-06-30,0.16758259087889202,0.41895647719723,0.41346093192387795
2021-07-30,0.28290627568376586,0.2860792657030319,0.4310144586132023
2021-08-31,0.2622968277777049,0.21166008961887706,0.5260430826034181
2021-09-30,0.2371108493414621,0.23618192399428162,0.5267072266642563
2021-10-29,0.2486692702599817,0.24067940392116238,0.5106513258188559
2021-11-30,0.22148837088682513,0.5537209272170628,0.22479070189611214
2021-12-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2022-01-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2022-02-28,0.5555555555555556,0.22222222222222227,0.22222222222222227
2022-03-31,0.5222959246263679,0.20891836985054718,0.26878570552308495
2022-04-29,0.5555555555555556,0.22222222222222227,0.22222222222222227
2022-05-31,0.45373945678495303,0.36476476050106565,0.18149578271398123
2022-06-30,0.5555555555555556,0.22222222222222227,0.22222222222222227
2022-07-29,0.22222222222222227,0.5555555555555556,0.22222222222222227
2022-08-30,0.22222222222222227,0.5555555555555556,0.22222222222222227
2022-09-30,0.22222222222222227,0.5555555555555556,0.22222222222222227
2022-10-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2022-11-30,0.22222222222222224,0.22222222222222224,0.5555555555555556
2022-12-30,0.522400921424359,0.20896036856974362,0.26863871000589734
2023-01-31,0.5555555555555556,0.22222222222222227,0.22222222222222227
2023-02-28,0.5555555555555556,0.22222222222222227,0.22222222222222227
2023-03-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-04-28,0.22222222222222227,0.5555555555555556,0.22222222222222227
2023-05-31,0.21181742336695028,0.5295435584173757,0.25863901821567414
2023-06-30,0.2922833106802622,0.3965987717382791,0.3111179175814588
2023-07-31,0.3729829731327928,0.383526550284128,0.24349047658307924
2023-08-31,0.41986460740952836,0.16794584296381135,0.4121895496266604
2023-09-29,0.3197100779732,0.19436854915051432,0.4859213728762858
2023-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2023-11-30,0.20246205452358657,0.5061551363089665,0.2913828091674471
2023-12-29,0.22222222222222227,0.5555555555555556,0.22222222222222227
2024-01-31,0.20015047620615617,0.5003761905153904,0.2994733332784536
2024-02-29,0.17352822770163978,0.43382056925409945,0.39265120304426077
2024-03-28,0.20390497622450346,0.2863325832142379,0.5097624405612586
2024-04-30,0.40933835934958823,0.3279683605499189,0.26269328010049287
2024-05-31,0.4501520677219684,0.34670219151272924,0.20314574076530245
2024-06-28,0.17157205384739282,0.428930134618482,0.3994978115341251
2024-07-31,0.18043164524158545,0.4510791131039636,0.368489241654451
2024-08-30,0.16939449228242381,0.4234862307060595,0.4071192770115166
2024-09-30,0.22076485016319475,0.27726083828449644,0.5019743115523089
2024-10-31,0.225392909905842,0.22131631145547373,0.5532907786386843
2024-11-29,0.22222222222222224,0.22222222222222224,0.5555555555555556
2024-12-31,0.3333333333333333,0.3333333333333333,0.3333333333333333
2025-01-31,0.16707946269222013,0.4176986567305503,0.41522188057722975
2025-02-28,0.2067449884523991,0.2763925404166032,0.5168624711309977
2025-03-28,0.2015716979976803,0.29449905700811896,0.5039292449942008
2025-04-30,0.172041630027913,0.3978542949023045,0.43010407506978254
2025-05-30,0.17162099764719518,0.4290524941179879,0.399326508234817
2025-06-30,0.18158009170697084,0.4539502292674271,0.3644696790256021
2025-07-31,0.22222222222222227,0.5555555555555556,0.22222222222222227
2025-08-29,0.22222222222222224,0.22222222222222224,0.5555555555555556
2025-09-30,0.22222222222222224,0.22222222222222224,0.5555555555555556
2025-10-31,0.22222222222222224,0.22222222222222224,0.5555555555555556
2025-11-28,0.2732048498128517,0.27065359667489314,0.45614155351225527
2025-12-30,0.3400096667281287,0.33885731822424664,0.3211330150476246
