date,gap_pct,abs_gap_pct,intraday_return,gap_filled,gap_direction
2015-01-05,0.0014889016918924998,0.0014889016918924998,-0.003514507579263999,True,1.0
2015-01-06,-0.006337795218872188,0.006337795218872188,-0.023776886319432707,False,-1.0
2015-01-07,-0.001070483639557861,0.001070483639557861,-0.0020384922230384985,True,-1.0
2015-01-08,0.011021809606293604,0.011021809606293604,0.005273788063855795,False,1.0
2015-01-09,0.006175234783681185,0.006175234783681185,-0.00011468239988185237,True,1.0
2015-01-12,0.0008267981622306717,0.0008267981622306717,0.0038172785030332113,True,1.0
2015-01-13,0.002781495929953142,0.002781495929953142,-0.0056013848076009965,True,1.0
2015-01-14,0.0009458043961666094,0.0009458043961666094,-0.0035752138568720094,True,1.0
2015-01-15,0.01775286150852073,0.01775286150852073,0.008267599338239659,False,1.0
2015-01-16,0.0011654389912175314,0.0011654389912175314,0.001146512570355094,True,1.0
2015-01-19,0.004257793327491867,0.004257793327491867,7.606863583922379e-05,False,1.0
2015-01-20,0.002853498953907398,0.002853498953907398,0.014052314898856633,False,1.0
2015-01-21,0.0027658565631368415,0.0027658565631368415,0.001129587647870594,True,1.0
2015-01-22,0.001872914757431697,0.001872914757431697,0.001778075538062139,True,1.0
2015-01-23,0.007595795388909584,0.007595795388909584,0.0008664994583410445,False,1.0
2015-01-27,0.004046131737575288,0.004046131737575288,0.004413126790046346,True,1.0
2015-01-28,-0.0008697603950395601,0.0008697603950395601,0.0012973300033697452,True,-1.0
2015-01-29,-0.0014358732562224734,0.0014358732562224734,0.005712476478683368,True,-1.0
2015-01-30,0.004942836454204258,0.004942836454204258,-0.020863351366043465,True,1.0
2015-02-02,-0.0007265822453630771,0.0007265822453630771,-0.00057933648111332,True,-1.0
2015-02-03,0.0029270010294678225,0.0029270010294678225,-0.007548390652874529,True,1.0
2015-02-04,0.0037229944058615946,0.0037229944058615946,-0.00744670331074467,True,1.0
2015-02-05,0.0010774572546120489,0.0010774572546120489,-0.0024503801650822446,True,1.0
2015-02-06,-0.0017046713735041808,0.0017046713735041808,-0.004116410688407058,True,-1.0
2015-02-09,-0.008849898775667598,0.008849898775667598,-0.006762357137185388,False,-1.0
2015-02-10,-0.005658928170966335,0.005658928170966335,0.010314834614091868,True,-1.0
2015-02-11,0.004407189364463365,0.004407189364463365,0.002801318852606859,False,1.0
2015-02-12,0.005743306493731704,0.005743306493731704,0.0039875311712278295,True,1.0
2015-02-13,0.003437987038355039,0.003437987038355039,0.007321397929417148,False,1.0
2015-02-16,0.0029413878399863723,0.0029413878399863723,-0.002496861230910567,True,1.0
2015-02-18,0.0002497568390472924,0.0002497568390472924,0.006531178505838451,True,1.0
2015-02-19,0.0015728987075254036,0.0015728987075254036,0.001379030881211067,True,1.0
2015-02-20,2.2505740885147495e-05,2.2505740885147495e-05,-0.0069586184728233375,True,1.0
2015-02-23,0.00263199613160246,0.00263199613160246,-0.011505153475185938,True,1.0
2015-02-24,0.002050290968201137,0.002050290968201137,-0.0012311528421708809,True,1.0
2015-02-25,0.004542379455195327,0.004542379455195327,-0.003936694246381896,True,1.0
2015-02-26,0.00134021500470501,0.00134021500470501,-0.010838408773778334,True,1.0
2015-02-27,0.005256930126440269,0.005256930126440269,0.013185131952001833,False,1.0
2015-03-02,0.012352170230995918,0.012352170230995918,0.000323926663003496,False,1.0
2015-03-03,0.000681006991933458,0.000681006991933458,0.00372653699221548,True,1.0
2015-03-04,0.01254971689592886,0.01254971689592886,-0.020473918203386232,True,1.0
2015-03-05,0.0007565016788164426,0.0007565016788164426,0.0009350694346471769,True,1.0
2015-03-09,-0.005213796467231686,0.005213796467231686,-0.015116198098135237,False,-1.0
2015-03-10,0.0014845690467353756,0.0014845690467353756,-0.006579457260754298,True,1.0
2015-03-11,0.0019169076953066194,0.0019169076953066194,-0.0032994191250179006,True,1.0
2015-03-12,0.004678210150493633,0.004678210150493633,0.004044276775206007,False,1.0
2015-03-13,0.007754079841328624,0.007754079841328624,-0.022195691908412557,True,1.0
2015-03-16,0.0010407331386776907,0.0010407331386776907,-0.00272615119704277,True,1.0
2015-03-17,0.006480741817118923,0.006480741817118923,0.003935988405012656,True,1.0
2015-03-18,0.0022469233405193237,0.0022469233405193237,-0.006519575593143097,True,1.0
