ticker,pattern_type,description,entry,exit,condition,significant,train_n,train_mean_ret_bps,train_std_ret_bps,train_win_rate,train_sharpe,train_p_value,fdr_p_value,test_n,test_mean_ret_bps,test_std_ret_bps,test_win_rate,test_win_ci_lo,test_win_ci_hi,test_sharpe,test_p_value
nifty50,dow_ohlc,Buy Mon_Open → Sell Mon_Close,Mon_Open,Mon_Close,,False,377,-14.988004929369273,95.56026187179145,0.47480106100795755,-1.568434894985737,0.002142542302357683,0.11209391772789515,162,2.0235202473988663,58.251341605672,0.5185185185185185,0.4420414850187045,0.5941376160029933,0.34737744944947907,0.6990588173435212
nifty50,dow_ohlc,Buy Mon_Open → Sell Tue_Open,Mon_Open,Tue_Open,,False,357,-0.48283608950147466,106.93103081193242,0.5574229691876751,-0.045153973157770685,0.8978048976383861,0.9951261764670271,154,19.184301328580187,68.51651666027759,0.6233766233766234,0.5447225060709496,0.6960251802170757,2.7999528089994503,0.0008056758093712023
nifty50,dow_ohlc,Buy Mon_Open → Sell Tue_Close,Mon_Open,Tue_Close,,False,357,-4.719039943838316,128.35273902563017,0.5126050420168067,-0.3676618029083114,0.46599152263865273,0.9852296950060965,154,2.706051426291668,94.18942306918316,0.538961038961039,0.46024046134559793,0.615785123797989,0.2872988641520868,0.7470452964856314
nifty50,dow_ohlc,Buy Mon_Open → Sell Wed_Open,Mon_Open,Wed_Open,,False,357,8.411538738794741,151.93718734749257,0.5854341736694678,0.5536194848438831,0.32599153220394594,0.9852296950060965,153,4.596895098122941,123.94724075261215,0.5490196078431373,0.46993466614950324,0.6257032258383367,0.3708751457644742,0.6835596234351272
nifty50,dow_ohlc,Buy Mon_Open → Sell Wed_Close,Mon_Open,Wed_Close,,False,357,-1.5227766460440737,175.5594730391332,0.49859943977591037,-0.08673850631259516,0.8287675276804589,0.991779512600059,153,4.382003433938807,126.24863510873908,0.6013071895424836,0.5221567130978318,0.675494930343704,0.3470931333368118,0.7045028963566214
nifty50,dow_ohlc,Buy Mon_Open → Sell Thu_Open,Mon_Open,Thu_Open,,False,358,8.997976034738702,195.93547148063942,0.5502793296089385,0.45923160144220243,0.42618310741599524,0.9852296950060965,154,5.513956226954113,132.03149222043874,0.6038961038961039,0.5250244217036347,0.6777104720125974,0.41762432085127504,0.6551071276402322
nifty50,dow_ohlc,Buy Mon_Open → Sell Thu_Close,Mon_Open,Thu_Close,,False,358,-2.373269300488773,220.305615186413,0.5195530726256983,-0.1077262283342445,0.7898345047318518,0.9906774917267753,154,-3.445009214645681,141.5066544866139,0.5194805194805194,0.44106045588915077,0.5969523366826427,-0.24345209963052075,0.7152209235462641
nifty50,dow_ohlc,Buy Mon_Open → Sell Fri_Open,Mon_Open,Fri_Open,,False,351,4.774316507251604,237.7325745206725,0.5555555555555556,0.20082719067329347,0.7655641516972149,0.9902850284069913,151,3.8110964669696563,148.07266403522343,0.5629139072847682,0.48320762813937906,0.6394984146811549,0.25738015127917707,0.8153199902116458
nifty50,dow_ohlc,Buy Mon_Open → Sell Fri_Close,Mon_Open,Fri_Close,,False,351,-0.917882800705159,226.68586226810146,0.5413105413105413,-0.04049140036883194,0.8754783459071346,0.9941298932830266,151,6.215554398103169,166.22409070147773,0.5298013245033113,0.450442748013982,0.6076811670062711,0.37392620840174723,0.7003462428019721
nifty50,dow_ohlc,Buy Mon_Close → Sell Tue_Open,Mon_Close,Tue_Open,,True,357,14.824069808918328,56.900484050520895,0.7198879551820728,2.6052625133656697,1.992167377272861e-06,0.0003275692358915804,154,16.32925878555025,31.199650349123228,0.7597402597402597,0.6864667010177107,0.8203705332728691,5.233795444123985,2.033519959814981e-09
