,RSI2_MeanRev,RSI2_BankNifty,Pairs_nifty50_vs_banknifty,DualMom_nifty50_vs_gold,FundManager,Nifty50_BuyHold
2015-04-16,50000.0,50000.0,50000.0,50000.0,50000.0,51853.68260640616
2015-04-17,50000.0,50000.0,50000.0,50000.0,50000.0,51253.951841707414
2015-04-20,50000.0,50000.0,50000.0,50000.0,50000.0,50313.55920669922
2015-04-21,50000.0,50000.0,50000.0,50000.0,50000.0,49894.58459700957
2015-04-22,50000.0,50000.0,50000.0,50000.0,50000.0,50203.97953178928
2015-04-23,50000.0,50000.0,50000.0,50000.0,50000.0,50016.97115287869
2015-04-24,50000.0,50000.0,50000.0,50000.0,50000.0,49462.803106360734
2015-04-27,50000.0,50000.0,50000.0,50000.0,50000.0,48918.16170426201
2015-04-28,50000.0,50000.0,50000.0,50000.0,50000.0,49345.77310696909
2015-04-29,50000.0,50000.0,50000.0,50000.0,50000.0,49072.7108630849
2015-04-30,50000.0,50000.0,50000.0,50000.0,50000.0,48725.79676887395
2015-05-04,50000.0,50000.0,50000.0,50000.0,50000.0,49621.81897025931
2015-05-05,50000.0,50000.0,50000.0,50000.0,50000.0,49579.234055462286
2015-05-06,50000.0,50000.0,50000.0,50000.0,50000.0,48222.547997014284
2015-05-07,50000.0,50000.0,50000.0,50000.0,50000.0,47986.10924513731
2015-05-08,50000.0,50000.0,50000.0,50000.0,50000.0,48785.35283654965
2015-05-11,50000.0,50000.0,50000.0,50000.0,50000.0,49581.91524171214
2015-05-12,50000.0,50000.0,50000.0,50000.0,50000.0,48400.91958290745
2015-05-13,50000.0,50000.0,50000.0,50000.0,50000.0,49047.1029171888
2015-05-14,50000.0,50000.0,50000.0,50000.0,50000.0,48980.102341053636
2015-05-15,50000.0,50000.0,50000.0,50000.0,50000.0,49207.30524962309
2015-05-18,50000.0,50000.0,50000.0,50000.0,50000.0,49870.16893567142
2015-05-19,50000.0,50000.0,50000.0,50000.0,50000.0,49822.524081530864
2015-05-20,50000.0,50000.0,50000.0,50000.0,50000.0,50165.564704934
2015-05-21,50000.0,50000.0,50000.0,50000.0,50000.0,50152.16458970697
2015-05-22,50000.0,50000.0,50000.0,50000.0,50000.0,50378.1810297407
2015-05-25,50000.0,50000.0,50000.0,,50000.0,49849.917546252786
2015-05-26,50000.0,50000.0,50000.0,50000.0,50000.0,49665.88697072598
2015-05-27,50000.0,50000.0,50000.0,50000.0,50000.0,49637.597838580026
2015-05-28,50000.0,50000.0,50000.0,50000.0,50000.0,49544.69269941483
2015-05-29,50000.0,50000.0,50000.0,50000.0,50000.0,50227.50534172562
2015-06-01,50000.0,50000.0,50000.0,50000.0,50000.0,50226.01644003373
2015-06-02,50000.0,50000.0,50000.0,50000.0,50000.0,49053.05852395637
2015-06-03,50000.0,50000.0,50000.0,50000.0,50000.0,48449.45719646093
2015-06-04,50000.0,50000.0,50000.0,50000.0,50000.0,48422.95358314079
2015-06-05,50000.0,50000.0,50000.0,50000.0,50000.0,48327.96340000472
2015-06-08,50000.0,50000.0,50000.0,50000.0,50000.0,47907.79359774599
2015-06-09,50000.0,50000.0,50000.0,50000.0,50000.0,47778.25915055134
2015-06-10,50000.0,50000.0,50000.0,50000.0,50000.0,48386.03056598853
2015-06-11,50000.0,50000.0,50000.0,50000.0,50000.0,47438.49294766592
2015-06-12,50000.0,50000.0,50000.0,50000.0,50000.0,47543.01268323233
2015-06-15,50000.0,50000.0,50000.0,50000.0,50000.0,47727.636493027
2015-06-16,50000.0,50000.0,50000.0,50000.0,50000.0,47926.55317746161
2015-06-17,50000.0,50000.0,50000.0,50000.0,50000.0,48190.08877692658
2015-06-18,50000.0,50000.0,50000.0,50000.0,50000.0,48684.70366377995
2015-06-19,50000.0,50000.0,50000.0,50000.0,50000.0,48984.56904612932
2015-06-22,50000.0,50000.0,50000.0,50000.0,50000.0,49747.77656378007
2015-06-23,50000.0,50000.0,50000.0,50000.0,50000.0,49917.21473952188
2015-06-24,50000.0,50000.0,50000.0,50000.0,50000.0,49793.93251622874
2015-06-25,50000.0,50000.0,50000.0,50000.0,50000.0,50015.18563405286
2015-06-26,50000.0,50000.0,50000.0,50000.0,50000.0,49914.53355327203
2015-06-29,50000.0,50000.0,50000.0,50000.0,50000.0,49541.12166176318
2015-06-30,50000.0,50000.0,50000.0,50000.0,50000.0,49839.49523440954
2015-07-01,50000.0,50000.0,50000.0,50000.0,50000.0,50343.04062340313
2015-07-02,50000.0,50000.0,50000.0,50000.0,50000.0,50294.505917860784
2015-07-03,50000.0,50000.0,50000.0,,50000.0,50532.73018856358
2015-07-06,50000.0,50000.0,50000.0,50000.0,50000.0,50754.57654065556
2015-07-07,50000.0,50000.0,50000.0,50000.0,50000.0,50686.976914230305
2015-07-08,50000.0,50000.0,50000.0,50000.0,50000.0,49807.036014321835
2015-07-09,50000.0,50000.0,50000.0,50000.0,50000.0,49601.567580840674
2015-07-10,50000.0,50000.0,50000.0,50000.0,50000.0,49792.14699740292
2015-07-13,50000.0,50000.0,50000.0,50000.0,50000.0,50382.35111768245
2015-07-14,50000.0,50000.0,49967.19260847853,50000.0,49989.06420282618,50349.29284730464
2015-07-15,50000.0,50000.0,50379.149321191755,50000.0,50126.44321417046,50764.39980220872
2015-07-16,50000.0,50000.0,50877.101341131995,50000.0,50291.59463089235,51266.15967237649
2015-07-17,50000.0,50000.0,50887.73892427311,50000.0,50295.09968526248,51276.878601353674
2015-07-20,50000.0,50000.0,50849.91576511755,50000.0,50282.638795204264,51238.76620765456
2015-07-21,50000.0,50000.0,50412.54544493264,50000.0,50138.47510945904,50798.05130685437
2015-07-22,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,51417.73102781559
2015-07-23,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,51157.46984886833
2015-07-24,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50750.99968698168
2015-07-27,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49794.82818365277
2015-07-28,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49651.89362123109
2015-07-29,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49878.503295532675
2015-07-30,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50156.92791191657
2015-07-31,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50818.29688025078
2015-08-03,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50879.045232484445
2015-08-04,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50723.30960512582
2015-08-05,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,51027.34216740582
2015-08-06,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,51150.62439069898
2015-08-07,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,51007.38739512113
2015-08-10,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50775.118731185896
2015-08-11,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50398.42660313709
2015-08-12,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49726.04208869178
2015-08-13,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49764.154482390884
2015-08-14,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50733.13286667898
2015-08-17,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50487.46408751671
2015-08-18,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50423.44131476534
2015-08-19,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,50593.77515793117
2015-08-20,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49864.80656317172
2015-08-21,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,49431.239553697065
2015-08-24,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,46507.33324795413
2015-08-25,50000.0,50000.0,51027.5224231941,50000.0,50342.352984468904,46934.35141639334
2015-08-26,50000.0,50000.0,50211.032072141934,50000.0,49894.83800182236,46405.195173492524
2015-08-27,50000.0,50000.0,51091.78082249416,50000.0,50381.06156228073,47340.821578279996
2015-08-28,50000.0,50000.0,51084.505739849,50000.0,50377.076072500095,47656.46873696121
2015-08-31,50000.0,50000.0,50890.40305674903,50000.0,50270.734569329295,47473.92706312629
2015-09-01,50000.0,50000.0,49061.395107848955,50000.0,49266.99180272141,46369.46153288711
2015-09-02,50000.0,50000.0,48237.484752186596,50000.0,48807.345672382915,45959.41742533769
2015-09-03,50000.0,50000.0,49135.884997881054,50000.0,49312.353247220766,46590.71174270011
2015-09-04,50000.0,50000.0,49135.884997881054,50000.0,49312.353247220766,45590.46642288228
2015-09-07,50000.0,50000.0,48103.15117403257,,48736.55168144087,45017.23927150367
2015-09-08,50000.0,50000.0,49811.73224973714,50000.0,49698.262180021804,45788.19373077005
2015-09-09,50000.0,50000.0,50666.403593534866,50000.0,50171.99796924482,46564.50765452502
2015-09-10,50000.0,50000.0,50563.28253352819,50000.0,50115.26752541915,46382.861648114136
2015-09-11,50000.0,50000.0,50608.8245445657,50000.0,50140.34446259164,46390.00663142855
2015-09-14,50000.0,50000.0,51520.31332544171,50000.0,50642.03959248901,46884.02537600293
2015-09-15,50000.0,50000.0,50995.56868271778,50000.0,50355.48445360288,46627.04152558451
2015-09-16,50000.0,50000.0,51681.92379863086,50000.0,50732.00675916554,47044.23061644834
2015-09-18,50000.0,50000.0,53035.444980862565,50000.0,51470.1419686098,47537.05707646476
2015-09-21,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47508.47132718487
2015-09-22,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46525.20006825684
2015-09-23,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46727.394081220285
2015-09-24,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46861.69185062454
2015-09-28,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46428.12484114989
2015-09-29,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,46711.60939687733
2015-09-30,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47340.52205313495
2015-10-01,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,47352.43326667009
2015-10-05,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48355.35686472665
2015-10-06,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48555.46583371922
2015-10-07,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48701.37819952469
2015-10-08,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48415.2124575474
2015-10-09,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48774.633907572475
2015-10-12,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48500.07985398527
2015-10-13,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48429.20871505341
2015-10-14,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48287.463529178574
2015-10-15,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48713.88555533881
2015-10-16,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49063.18421866569
2015-10-19,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49282.942618775676
2015-10-20,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49203.14097770358
2015-10-21,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49143.881527161815
2015-10-23,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49404.439323243
2015-10-26,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49196.58632064591
2015-10-27,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,49031.91728313595
2015-10-28,50000.0,50000.0,53442.907342483755,50000.0,51689.82885921533,48664.45518237243
