ticker,pattern_type,description,entry,exit,condition,significant,train_n,train_mean_ret_bps,train_std_ret_bps,train_win_rate,train_sharpe,train_p_value,fdr_p_value,test_n,test_mean_ret_bps,test_std_ret_bps,test_win_rate,test_win_ci_lo,test_win_ci_hi,test_sharpe,test_p_value
indiavix,dow_ohlc,Buy Mon_Open → Sell Mon_Close,Mon_Open,Mon_Close,,True,373,305.07096446023706,644.9396101774752,0.7184986595174263,4.730225274522794,2.151446404700604e-16,2.4763148118103954e-13,161,308.70422371205734,744.6930135522683,0.7267080745341615,0.6531874029593924,0.7896619748675641,4.145389013917344,1.8669317818783396e-06
indiavix,dow_ohlc,Buy Mon_Open → Sell Tue_Open,Mon_Open,Tue_Open,,True,352,325.43839551365033,694.5221657693186,0.7272727272727273,4.6857884680061135,2.0810339740688107e-15,1.916216083322561e-12,152,328.9122995016937,764.1680987790342,0.7368421052631579,0.6616208335298267,0.8003867433944348,4.304187783122854,1.4958545773968943e-06
indiavix,dow_ohlc,Buy Tue_Open → Sell Fri_Close,Tue_Open,Fri_Close,,True,350,-236.24009846930235,808.1413320935587,0.3342857142857143,-2.9232522714474003,1.0668841907609275e-10,7.017049734661872e-08,151,-231.87920888907274,891.265896037997,0.304635761589404,0.2368257366335642,0.3821397093447775,-2.601683851248664,0.00014525836113792184
indiavix,dow_ohlc,Buy Tue_Close → Sell Fri_Close,Tue_Close,Fri_Close,,True,350,-190.92086945083742,724.3204270682121,0.35428571428571426,-2.6358620068692007,1.1185080234100556e-09,6.43701367472487e-07,151,-161.45692764504588,810.1915526079702,0.33112582781456956,0.2610694860590277,0.4095616621595388,-1.9928241306061918,0.0015480550312823938
indiavix,dow_ohlc,Buy Mon_Open → Sell Tue_Close,Mon_Open,Tue_Close,,True,352,262.34433229133424,789.8518607278735,0.6164772727272727,3.3214371622746524,1.3817381039691164e-08,6.361522230673812e-06,152,214.19897091086705,771.060094708001,0.618421052631579,0.5391769349477636,0.6918268535143671,2.777980242797856,0.002044917184296723
indiavix,dow_ohlc,Buy Mon_Close → Sell Fri_Close,Mon_Close,Fri_Close,,True,347,-218.0596798347108,925.7293994559337,0.31412103746397696,-2.3555445032086917,1.752159029338729e-08,6.722450142562924e-06,150,-248.5175528735285,874.721326487014,0.28,0.21432932072113417,0.35665798050298214,-2.841105450939499,1.792824891488268e-05
indiavix,dow_ohlc,Buy Tue_Open → Sell Fri_Open,Tue_Open,Fri_Open,,True,350,-170.7624804996071,739.7628534461364,0.32,-2.3083408379336885,3.870426534846706e-08,1.3707264435718642e-05,151,-187.4701780618365,738.6629556198587,0.32450331125827814,0.2549837940951799,0.40273092856333037,-2.5379664248157456,0.00011190007784107324
indiavix,dow_ohlc,Buy Tue_Close → Sell Fri_Open,Tue_Close,Fri_Open,,True,350,-126.836736996533,614.0640732538598,0.33714285714285713,-2.0655293563168207,1.0231780977436129e-07,3.36479425857971e-05,151,-115.60170931721075,649.1265572028942,0.2913907284768212,0.2248057065796587,0.3683268882785705,-1.780880908883808,0.0019112483380653764
indiavix,dow_ohlc,Buy Mon_Open → Sell Wed_Open,Mon_Open,Wed_Open,,True,352,257.9073702114258,791.1828791347713,0.6022727272727273,3.259769353116822,2.1742086562545478e-07,6.67337110226396e-05,152,214.7144273792723,751.6399765627292,0.5921052631578947,0.5126421793158427,0.6670274339324811,2.856612661305848,0.0037406941881593645
indiavix,dow_ohlc,Buy Mon_Close → Sell Fri_Open,Mon_Close,Fri_Open,,True,347,-159.76314918210943,809.8187962555899,0.2968299711815562,-1.9728258953832187,2.55660376812465e-07,7.356627342778681e-05,150,-195.06254654854948,721.0632241317454,0.31333333333333335,0.2445479868464793,0.3914412384345891,-2.705207255347551,1.5226776776408926e-05
